File Name,Cell Number,inside,outside,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_1_1,1,0,331,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_1_2,1,3,778,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_1,1,0,94,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_2,2,0,95,
,,0,78,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_3,1,13,342,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_1,2,1,92,
,,2,74,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_2,1,0,29,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_3,1,2,223,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_4,1,1,183,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_5,1,0,27,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_1,1,0,257,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_2,2,12,323,
,,19,491,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_3,1,0,135,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_4,1,3,225,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_1,1,0,152,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_2,1,0,350,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_3,1,2,386,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_1,1,7,680,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_2,1,1,309,2 cells delete cond from bottom left
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_3,4,0,128,delet top right corner
,,0,155,
,,8,375,
,,0,11,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_4,4,0,122,
,,0,65,
,,0,92,
,,0,97,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_5,2,0,65,
,,0,40,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_1,1,0,85,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_2,2,6,73,
,,0,40,
,2,0,39,
,,5,25,
,1,0,19,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_1,4,0,116,
,,0,165,
,,6,113,
,,5,62,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_2,3,0,73,
,,0,3,
,,0,6,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_3,2,0,16,
,,0,23,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_1,1,3,186,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_2,1,3,60,
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_3,1,6,90,
,,,,
,,,,
Total,50,,,
