File Name,Cell Number,inside,outside
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_1,1,9,394
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_2,4,16,320
,,18,105
,,0,34
,,0,25
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_3,3,1,184
,,19,941
,,4,147
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_1,1,1,872
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_2,1,4,428
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_3,1,10,630
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_4,1,0,96
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_1,3,0,31
,,0,14
,,6,137
20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_2,3,5,331
,,6,285
,,3,92
20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_1,1,7,933
20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_2,2,13,539
,,5,550
20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_3,2,4,0
,,5,92
20250502_10ntABr_NucDFHBI40uM_20-40_sample2_2_1,3,12,648
,,0,114
,,0,74
20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_1,1,2,470
20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_2,3,3,191
,,8,30
,,1,168
20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_3,1,4,546
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_1,3,1,314
,,3,392
,,9,250
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_2,2,4,308
,,1,228
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_3,1,2,340
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_4,2,5,214
,,3,194
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_1,1,11,391
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_2,2,13,407
,,15,152
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_3,2,0,112
,,5,134
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_4,1,10,473
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_5,1,5,652
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_3_1,2,5,302
,,8,432
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_3_2,1,10,4
20250502_10ntABr_NucDFHBI40uM_20-40_sample3_3_3,1,1,55
,,,
Total,50,,
