Cell,Class,Average volume
Sample1_1_1_inside,Class B,38.32987594604492
Sample1_1_2_inside,Class A,28.051791210969288
Sample1_1_2_inside,Class B,6.132493615150452
Sample1_1_3_inside,Class A,36.24361597932875
Sample1_1_3_inside,Class B,171.80299377441406
Sample1_1_4_inside,Class A,173.9029998779297
Sample1_2_1_inside,Class C,20.28782093524933
Sample1_2_2_inside,Class C,8.327328423659006
Sample1_2_3_inside,Class C,2.6542334490352206
Sample1_2_4_inside,Class C,32.24746828079223
Sample1_2_5_inside,Class C,15.983319729566574
Sample1_3_1_inside,Class A,324.3070068359375
Sample1_3_1_inside,Class B,16.773433049519856
Sample1_3_1_inside,Class C,18.749199390411377
Sample1_3_2_inside,Class A,68.8942985534668
Sample1_3_3_inside,Class A,8.755754064023495
Sample1_3_3_inside,Class C,55.75763228535652
Sample1_3_4_inside,Class A,32.90903689712286
Sample1_3_4_inside,Class B,7.510399838288625
Sample1_3_5_inside,Class C,27.166931915283204
Sample1_3_6_inside,Class A,144.67124819755554
Sample1_3_6_inside,Class B,5.231904732329505
Sample2_1_1_inside,Class A,5.92489721093859
Sample2_1_1_inside,Class B,54.80134963989258
Sample2_1_2_inside,Class B,153.9530029296875
Sample2_1_3_inside,Class A,23.071178572518484
Sample2_3_1_inside,Class C,61.97690773010254
Sample2_3_2_inside,Class A,30.365941961606342
Sample2_3_3_inside,Class C,11.954458960465022
Sample2_4_1_inside,Class A,84.00918277104695
Sample2_4_1_inside,Class C,5.053491006294887
Sample2_4_2_inside,Class C,10.462778654694556
Sample3_1_1_inside,Class A,12.971970001856485
Sample3_1_1_inside,Class B,13.103813886642456
Sample3_1_2_inside,Class A,87.26945400238037
Sample3_1_3_inside,Class C,6.131605838026319
Sample3_2_2_inside,Class A,104.77634811401367
Sample3_2_2_inside,Class B,17.568982805524552
Sample3_3_1_inside,Class A,223.46600341796875
Sample3_3_2_inside,Class C,27.298886047469246
Sample3_3_3_inside,Class C,6.016180823246638
Sample3_3_4_inside,Class A,2.309521211045129
Sample3_3_4_inside,Class B,1.6105982636411984
Sample3_3_4_inside,Class C,3.5212750136852264
Sample3_4_1_inside,Class C,33.12540779449046
Sample3_4_2_inside,Class C,7.540753751993179
Sample3_4_3_inside,Class C,92.33597143491109
sample_inside,Class A,362.239990234375
sample_inside,Class B,5.04794979095459
