Cell,Class,Average volume
sample_inside,Class A,0.5427616596078644
sample_inside,Class B,0.5591182489978507
sample_inside,Class C,1.0423973270885225
sample_inside,Class A,0.5137680009102974
sample_inside,Class B,0.47419128215794143
sample_inside,Class A,0.1653442994599611
sample_inside,Class B,0.43752050608759974
sample_inside,Class A,1.323586824744403
sample_inside,Class A,1.8773559703283567
sample_inside,Class A,0.6868183003402814
sample_inside,Class A,0.3982420629636591
sample_inside,Class B,0.8516911345875204
sample_inside,Class A,3.5426632424421385
sample_inside,Class A,0.7495175493771539
sample_inside,Class A,1.0562651627985513
sample_inside,Class A,9.61685793963261
sample_inside,Class B,2.855072457677661
sample_inside,Class C,2.515705811214589
sample_inside,Class D,1.5985916893151175
sample_inside,Class A,2.017462271267436
sample_inside,Class A,0.7867573125725041
sample_inside,Class A,0.721270736458587
sample_inside,Class A,3.152956175660858
sample_inside,Class A,3.0373932142092874
sample_inside,Class A,1.0124748578806892
sample_inside,Class A,4.1439575094264
sample_inside,Class A,0.8801713364685826
sample_inside,Class A,0.47613609156667674
sample_inside,Class B,0.4267187863414254
sample_inside,Class C,0.3973089206948995
sample_inside,Class D,0.3839090832819541
sample_inside,Class E,0.4453293435871601
sample_inside,Class A,0.288018844636778
sample_inside,Class B,0.6780852624442337
sample_inside,Class A,0.4297675926000053
sample_inside,Class A,0.2846399105736504
sample_inside,Class A,4.210312202660134
sample_inside,Class A,0.7879147858855625
sample_inside,Class A,0.6540893189568113
sample_inside,Class B,0.33157820092358936
sample_inside,Class C,0.34619349225264306
sample_inside,Class D,0.3466061319705549
sample_inside,Class E,0.38010590711590087
sample_inside,Class A,2.593991008931366
sample_inside,Class B,2.411943711189402
sample_inside,Class C,5.1803932442809595
sample_inside,Class A,0.4109577620314735
sample_inside,Class A,2.6451174489963445
