Cell,Class,Average volume
Sample1_1_1_inside,Class A,122.00900268554688
Sample1_1_1_inside,Class B,145.75599670410156
Sample1_1_1_inside,Class C,14.776436686515808
Sample1_1_2_inside,Class A,4.339481941291264
Sample1_1_2_inside,Class B,8.6908597946167
Sample1_1_2_inside,Class C,5.505592393875122
Sample1_1_3_inside,Class B,5.25280374288559
Sample1_1_4_inside,Class A,5.966002732515335
Sample1_2_1_inside,Class A,12.910044097900391
Sample1_2_1_inside,Class B,68.7699966430664
Sample1_2_2_inside,Class B,10.507321983575821
Sample1_2_3_inside,Class B,29.37064790725708
Sample1_3_1_inside,Class B,12.564536452293396
Sample1_3_2_inside,Class A,28.805295785268147
Sample1_3_3_inside,Class A,13.326899886131287
Sample1_4_1_inside,Class A,52.589900970458984
Sample1_4_2_inside,Class A,6.666962856054306
Sample1_4_3_inside,Class B,18.31263319651286
Sample1_4_4_inside,Class A,3.820593621581793
Sample1_4_4_inside,Class B,3.3398828744474383
Sample2_2_1_inside,Class A,15.147610127925873
Sample2_2_1_inside,Class B,7.032887709140778
Sample2_2_2_inside,Class A,40.35490036010742
Sample2_2_3_inside,Class A,33.05736777186394
Sample2_2_4_inside,Class A,21.596049308776855
Sample2_3_1_inside,Class A,8.685971378951388
Sample2_3_2_inside,Class A,48.94020080566406
Sample2_3_3_inside,Class A,35.206270376841225
Sample2_3_3_inside,Class B,160.26100158691406
Sample2_3_3_inside,Class C,5.926640033721924
Sample2_3_4_inside,Class A,3.170370165258646
Sample2_3_5_inside,Class A,6.323126673698425
Sample2_3_6_inside,Class A,72.0459976196289
Sample2_3_6_inside,Class B,34.75230026245117
Sample2_4_1_inside,Class A,14.542399883270264
Sample2_4_1_inside,Class B,75.79250144958496
Sample2_4_3_inside,Class A,9.4566483994325
Sample3_1_1_inside,Class A,32.065650939941406
Sample3_1_2_inside,Class A,86.7223014831543
Sample3_1_2_inside,Class B,15.178500175476074
Sample3_1_3_inside,Class A,30.94952940940857
Sample3_1_3_inside,Class B,7.606785333156585
