Cell,Class,Average volume
Sample1_1_1_inside,Class A,1.0368066523224115
Sample1_1_1_inside,Class B,1.0043916079264723
Sample1_1_1_inside,Class C,1.4652462650419158
Sample1_1_1_inside,Class D,0.2567592677142885
Sample1_1_1_inside,Class E,1.0452166164759547
Sample1_1_2_inside,Class A,8.14119238673231
Sample1_1_2_inside,Class B,0.28237920103129
Sample1_1_2_inside,Class C,3.0677500565846763
Sample1_1_2_inside,Class D,2.553924875696086
Sample1_1_2_inside,Class E,4.179240015894175
Sample1_1_2_inside,Class A,2.0168329605202038
Sample1_1_3_inside,Class A,12.04195911437273
Sample1_1_3_inside,Class B,1.7852258362496893
Sample1_1_3_inside,Class C,5.337763032930739
Sample1_1_4_inside,Class A,18.87338931692971
Sample1_1_4_inside,Class B,4.624912039066355
Sample1_2_1_inside,Class A,4.771296430223932
Sample1_2_1_inside,Class B,2.2232945040888983
Sample1_2_1_inside,Class C,3.775536749757042
Sample1_2_1_inside,Class D,8.238479870149778
Sample1_2_2_inside,Class A,1.2485900682707627
Sample1_2_2_inside,Class B,0.5364699551007814
Sample1_2_2_inside,Class C,2.9913294614794164
Sample1_2_2_inside,Class D,3.058547964749428
Sample1_2_2_inside,Class E,1.363561459126011
Sample1_2_3_inside,Class A,4.996896914460442
Sample1_2_3_inside,Class B,0.6622052847274712
Sample1_2_3_inside,Class C,2.368685216642916
Sample1_3_1_inside,Class A,4.283395935315639
Sample1_3_1_inside,Class B,3.2949687991864405
Sample1_3_1_inside,Class C,1.9762184919887467
Sample1_3_1_inside,Class D,2.2230741284214535
Sample1_3_1_inside,Class E,1.481156643633457
Sample1_3_2_inside,Class A,1.0965329747360486
Sample1_3_2_inside,Class B,2.1948434108761465
Sample1_3_3_inside,Class A,2.5049640275537968
Sample1_3_3_inside,Class B,1.216353060470687
Sample1_3_4_inside,Class A,2.484107433836542
Sample1_3_5_inside,Class A,2.546330370389077
Sample1_3_5_inside,Class B,7.38286393659655
Sample1_3_6_inside,Class B,1.8254806953999732
Sample1_4_1_inside,Class A,4.318777349140299
Sample1_4_1_inside,Class B,1.9633688707357255
Sample1_4_1_inside,Class C,1.8653626111336052
Sample1_4_1_inside,Class D,3.9691899499545493
Sample1_4_2_inside,Class A,4.300183004566601
Sample1_4_2_inside,Class B,2.72454121605639
Sample1_4_2_inside,Class C,2.434166947007179
Sample1_4_2_inside,Class D,2.416057962924242
Sample1_4_2_inside,Class A,4.4961528318623705
