Cell,Class,Average volume
Sample1_1_1_outside,Class A,0.7224119901657104
Sample1_1_1_outside,Class B,0.8014751225709915
Sample1_1_1_outside,Class C,0.7527637928724289
Sample1_1_2_outside,Class A,1.8361463844776154
Sample1_1_2_outside,Class B,0.8282584846019745
Sample1_1_2_outside,Class C,1.1247470080852509
Sample1_1_2_outside,Class B,2.2981918584555387
Sample1_1_3_outside,Class B,2.728339910507202
Sample1_1_4_outside,Class A,2.6521400213241577
Sample1_1_4_outside,Class B,2.208367243409157
Sample1_2_1_outside,Class A,0.6856458944578966
Sample1_2_1_outside,Class B,1.3394614942371845
Sample1_2_1_outside,Class C,1.7559784650802612
Sample1_2_1_outside,Class D,0.5443073163429896
Sample1_2_2_outside,Class A,1.1202800273895264
Sample1_2_2_outside,Class B,1.4773431168869138
Sample1_2_3_outside,Class A,1.7327976127465565
Sample1_2_3_outside,Class B,0.6239740252494812
Sample1_2_3_outside,Class C,0.9995943407217661
Sample1_3_1_outside,Class A,1.7221896449724834
Sample1_3_1_outside,Class B,1.1443969225510955
Sample1_3_1_outside,Class C,1.5576829761266708
Sample1_3_1_outside,Class D,3.137193120084703
Sample1_3_2_outside,Class A,4.961249828338623
Sample1_3_2_outside,Class B,1.9054979532957077
Sample1_3_4_outside,Class A,1.1478698566555976
Sample1_3_5_outside,Class A,2.009615905582905
Sample1_3_5_outside,Class B,1.067900002002716
Sample1_4_1_outside,Class A,1.8203774034976958
Sample1_4_1_outside,Class B,4.161960124969482
Sample1_4_1_outside,Class C,2.1632759986179217
Sample1_4_1_outside,Class D,4.407169818878174
Sample1_4_2_outside,Class A,1.747689962387085
Sample1_4_2_outside,Class B,0.9323661473712751
Sample1_4_2_outside,Class C,0.6434770498424769
Sample1_4_2_outside,Class D,0.880540127732924
