Cell,Class,Average volume
Sample1_1_1_inside,Class A,9.866906070709229
Sample1_1_1_inside,Class B,15.042351017395655
Sample1_1_2_inside,Class A,0.5836122557520866
Sample1_1_2_inside,Class B,1.660639550536871
Sample1_1_2_inside,Class C,1.5322351408275692
Sample1_1_3_inside,Class A,1.9127742946147919
Sample1_1_3_inside,Class B,2.750334620475769
Sample1_1_4_inside,Class A,1.2157640356038297
Sample1_1_4_inside,Class B,2.1138416826725006
Sample1_1_4_inside,Class C,1.678271222114563
Sample1_1_4_inside,Class D,1.640514412522316
Sample1_1_5_inside,Class A,1.8060740232467651
Sample1_1_5_inside,Class B,1.2480599999427795
Sample1_3_2_inside,Class A,11.274023368954659
Sample1_3_2_inside,Class B,13.577750205993652
Sample1_3_3_inside,Class A,26.65019989013672
Sample1_3_4_inside,Class B,20.449399948120117
Sample1_7_1_inside,Class A,1.7974380254745483
Sample1_7_1_inside,Class B,1.069390058517456
Sample1_7_1_inside,Class C,0.1520400047302246
Sample1_7_1_inside,Class E,0.6286400109529495
Sample1_7_2_inside,Class A,1.7020305022597313
Sample1_7_2_inside,Class B,14.304817742109298
Sample2_3_1_inside,Class A,11.02464473247528
Sample2_3_1_inside,Class B,1.539234477242357
Sample2_3_1_inside,Class C,3.799397712945938
Sample2_3_2_inside,Class A,3.552039778658322
Sample2_3_2_inside,Class B,2.9509887099266052
Sample2_3_3_inside,Class A,1.9988383507089955
Sample2_3_3_inside,Class B,2.402755836645762
Sample2_3_3_inside,Class C,1.2411492504179478
Sample2_3_3_inside,Class D,1.214242923590872
Sample2_3_3_inside,Class E,3.694051234573126
Sample3_1_1_inside,Class A,1.6560822959457124
Sample3_1_1_inside,Class B,0.8975685975617833
Sample3_1_2_inside,Class A,0.42220127688986914
Sample3_1_2_inside,Class B,0.6806307200874601
Sample3_1_2_inside,Class C,0.2683599955505795
Sample3_1_2_inside,Class D,0.2926710252650082
Sample3_1_2_inside,Class E,0.3712329694794284
Sample3_1_3_inside,Class A,3.803531231979529
Sample3_1_3_inside,Class B,1.87029772571155
Sample3_2_1_inside,Class A,9.13608980178833
Sample3_2_1_inside,Class B,8.747709614038467
Sample3_2_1_inside,Class C,9.611394961675009
Sample3_2_2_inside,Class A,9.475746472676596
Sample3_2_2_inside,Class B,33.08245038986206
