Cell,Class,Average volume
Sample1_1_4_outside,Class A,0.20148199796676636
Sample1_1_4_outside,Class B,1.513030469417572
Sample1_1_4_outside,Class C,0.7848889827728271
Sample1_3_1_outside,Class A,1.0638887658715248
Sample1_3_1_outside,Class B,0.5209535052999854
Sample1_7_1_outside,Class A,1.0227099657058716
Sample1_7_1_outside,Class B,6.337759971618652
Sample2_3_1_outside,Class A,0.1429504007101059
Sample2_3_1_outside,Class B,0.16562563814222814
Sample2_3_2_outside,Class A,0.3060489892959595
Sample2_3_2_outside,Class B,0.98807276537021
Sample2_3_3_outside,Class A,0.235275000333786
Sample2_3_3_outside,Class B,1.9169915850572992
Sample3_1_2_outside,Class B,1.3529900312423706
Sample3_2_1_outside,Class A,0.41581669519655406
Sample3_2_1_outside,Class B,0.5214505104813725
Sample3_2_2_outside,Class A,1.5426804795861244
Sample3_2_2_outside,Class B,0.6814376362599432
