Cell,Class,Average volume
Sample1_1_2_outside,Class A,0.1701580630033277
Sample1_2_1_outside,Class A,0.4571238931800638
Sample1_2_1_outside,Class B,0.9102141229579082
Sample1_3_1_outside,Class A,0.22507700324058533
Sample1_3_2_outside,Class A,0.38669933574432036
Sample1_3_2_outside,Class B,0.5734856502926895
Sample2_1_1_outside,Class A,1.776026402564743
Sample2_1_1_outside,Class B,1.3184899939224124
Sample2_1_2_outside,Class A,2.901870012283325
Sample2_1_2_outside,Class B,6.223299854793227
Sample2_1_3_outside,Class A,0.615598747972399
Sample2_1_3_outside,Class B,0.8330623236085687
Sample2_1_3_outside,Class C,0.2118407072033733
Sample2_1_4_outside,Class A,0.8484665281589954
Sample2_1_4_outside,Class B,0.4449427916821259
Sample2_1_4_outside,Class C,0.2904463023878634
Sample2_1_4_outside,Class D,0.43131611097071854
Sample2_2_1_outside,Class A,0.847474138975015
Sample2_2_1_outside,Class B,0.5103424072265625
Sample2_2_2_outside,Class A,0.019765999633818865
Sample2_2_2_outside,Class B,0.7663801199905035
Sample2_3_1_outside,Class A,0.6692561995238065
Sample2_3_1_outside,Class B,4.004839888215065
Sample2_3_2_outside,Class A,3.584967302158475
Sample2_3_2_outside,Class B,2.8734108889475465
Sample2_3_2_outside,Class C,1.9611474086330938
Sample3_1_1_outside,Class A,1.135320029945837
Sample3_1_1_outside,Class B,1.1026497336725394
Sample3_1_2_outside,Class A,2.7917675732634963
Sample3_2_1_outside,Class A,5.917842364388293
Sample3_2_1_outside,Class B,3.098120702772484
Sample3_2_2_outside,Class A,1.4675456112308893
