Cell,Class,Average volume
Sample1_1_1_inside,Class A,2.752522175962275
Sample1_1_1_inside,Class B,1.1966515774640472
sample_inside,Class A,0.45908873962859315
sample_inside,Class B,1.281848935144288
Sample1_1_4_inside,Class A,7.827767610549927
Sample1_1_4_inside,Class B,7.707978794972102
Sample1_3_1_inside,Class A,3.299084769354926
Sample1_3_1_inside,Class B,19.85161542892456
Sample1_3_1_inside,Class C,1.8430135026574135
Sample1_3_1_inside,Class D,1.4621307344900236
Sample1_3_1_inside,Class E,0.8324432286123434
Sample1_3_1_inside,Class F,5.790211763646868
Sample1_3_2_inside,Class A,9.940069993336996
Sample1_3_2_inside,Class B,8.877347588539124
Sample1_3_2_inside,Class C,0.7569016714890798
Sample1_3_2_inside,Class D,0.4295712009072304
Sample1_3_3_inside,Class A,12.815936724344889
Sample1_3_3_inside,Class B,18.635069688161213
Sample1_3_3_inside,Class C,7.223578189810117
Sample2_1_1_inside,Class A,0.17478400468826294
Sample2_1_1_inside,Class B,5.800380229949951
Sample2_1_1_inside,Class C,0.9856926649808884
Sample2_1_2_inside,Class A,5.448619866371155
Sample2_1_2_inside,Class B,7.815611481666565
Sample2_1_3_inside,Class A,8.68369746208191
Sample2_1_3_inside,Class B,8.776174116134644
Sample2_2_1_inside,Class A,4.472021142641704
Sample2_2_1_inside,Class B,7.5267061702907085
Sample2_2_2_inside,Class A,4.844315201044083
Sample2_2_2_inside,Class B,3.8280210979282856
Sample2_2_3_inside,Class A,11.48128264480167
Sample2_2_3_inside,Class B,17.4884250164032
Sample2_3_1_inside,Class A,7.474910259246826
Sample2_3_1_inside,Class B,2.1480950956994835
Sample2_3_1_inside,Class C,1.9437559805810452
Sample2_3_1_inside,Class D,3.2199748679995537
Sample2_3_1_inside,Class E,5.690157862380147
Sample2_3_1_inside,Class F,8.41302478313446
Sample2_3_2_inside,Class A,18.41516653696696
Sample2_3_2_inside,Class B,10.675425171852112
Sample2_3_2_inside,Class C,6.049178123474121
Sample2_3_2_inside,Class D,1.7709540575742722
Sample2_3_2_inside,Class E,3.4319857491387262
Sample3_2_1_inside,Class A,4.399103999137878
Sample3_2_1_inside,Class B,2.2204120084643364
Sample3_2_1_inside,Class C,2.7046085422237716
Sample3_2_1_inside,Class D,1.0951022524386644
Sample3_2_2_inside,Class A,21.7118501663208
Sample3_2_2_inside,Class B,2.0445416755974293
Sample3_2_2_inside,Class C,3.427579975128174
