Cell,Class,Average volume
Sample1_1_1_outside,Class B,3.4486626416444777
sample_outside,Class B,0.9155972376465797
Sample1_1_4_outside,Class B,11.436019659042358
Sample1_3_1_outside,Class B,7.5555901527404785
Sample1_3_3_outside,Class B,0.8741520047187805
Sample2_1_1_outside,Class A,3.3306167125701904
Sample2_1_1_outside,Class B,0.02167849987745285
Sample2_2_1_outside,Class B,0.5696979910135269
Sample2_2_3_outside,Class B,0.5311239957809448
Sample2_3_1_outside,Class B,0.41189101338386536
Sample2_3_2_outside,Class B,0.684786006808281
Sample3_2_1_outside,Class B,0.3755475953221321
Sample3_2_2_outside,Class B,0.20020699501037598
