Cell,Class,Average volume
Sample1_1_1_inside,Class A,4.969962239265442
Sample1_1_1_inside,Class B,8.976101563735442
Sample1_1_2_inside,Class A,9.585762739181519
Sample1_1_3_inside,Class A,9.30740282752297
Sample1_2_1_inside,Class A,3.781439835980284
Sample1_2_1_inside,Class B,14.530538422720772
Sample1_2_1_inside,Class C,7.074646058181922
Sample1_2_1_inside,Class D,4.09827995300293
Sample1_2_1_inside,Class E,3.2937449283070035
Sample1_2_2_inside,Class A,4.716106613477071
Sample1_2_2_inside,Class B,0.7428813378016154
Sample1_2_2_inside,Class C,6.23514986038208
Sample1_3_1_inside,Class A,6.667370814543504
Sample1_3_1_inside,Class B,7.525916556517283
Sample1_3_2_inside,Class A,197.6999969482422
Sample1_3_2_inside,Class B,205.5172986984253
Sample1_3_2_inside,Class C,148.51600646972656
Sample1_3_3_inside,Class A,6.851646542549133
Sample1_3_4_inside,Class A,18.976633707682293
Sample1_3_4_inside,Class B,6.522750191963636
Sample2_4_1_inside,Class A,0.8792829886078835
Sample2_4_1_inside,Class B,2.045981546243032
Sample2_4_1_inside,Class C,97.69766743977864
Sample2_4_2_inside,Class A,27.111097415288288
Sample2_4_3_inside,Class A,13.564453125
Sample2_4_3_inside,Class B,22.13129452296666
Sample2_5_1_inside,Class A,10.744103446602821
Sample2_5_1_inside,Class B,33.41371402740479
Sample2_5_2_inside,Class B,12.64133326212565
Sample2_5_4_inside,Class A,2.5190999507904053
Sample2_5_4_inside,Class B,16.668399810791016
Sample2_5_4_inside,Class C,2.8184713274240494
Sample2_5_5_inside,Class B,12.480205938220024
sample_inside,Class A,7.963325142860413
sample_inside,Class B,7.021128237247467
Sample3_3_1_inside,Class A,0.42167189303371644
Sample3_3_1_inside,Class B,0.718765575852659
Sample3_3_2_inside,Class A,3.5691528245806694
Sample3_3_2_inside,Class B,4.223311707377434
Sample3_3_2_inside,Class C,10.216934245824813
Sample3_3_2_inside,Class D,0.6113748842229446
Sample3_3_3_inside,Class A,1.4237345493045346
Sample3_3_3_inside,Class B,1.3900817825513727
Sample3_3_4_inside,Class A,4.282009950705937
Sample3_3_4_inside,Class B,15.408534288406372
Sample3_3_4_inside,Class C,5.025662481784821
Sample3_4_1_inside,Class B,19.21149570601327
Sample3_4_2_inside,Class A,6.566706134722783
Sample3_4_3_inside,Class B,15.303077027201653
