Cell,Class,Average volume
Sample1_1_1_outside,Class A,0.5622017588466406
Sample1_1_1_outside,Class B,0.7235268825755977
Sample1_1_2_outside,Class A,1.000332697908929
Sample1_1_3_outside,Class B,0.3623353398190095
Sample1_2_1_outside,Class A,0.6270286462862383
Sample1_2_1_outside,Class B,0.9207054926929149
Sample1_2_1_outside,Class C,0.20871773086812184
Sample1_2_1_outside,Class D,0.20087378218092702
Sample1_2_1_outside,Class E,0.13138647186569868
Sample1_2_2_outside,Class A,71.53335189819336
Sample1_2_2_outside,Class B,7.614072350060774
Sample1_2_2_outside,Class C,1.946628845607241
Sample1_2_2_outside,Class D,1.0965177193284035
Sample1_3_1_outside,Class A,1.3639123203281902
Sample1_3_1_outside,Class B,0.6290486070194414
Sample1_3_2_outside,Class A,0.5662951340862349
Sample1_3_2_outside,Class B,0.7381311377199987
Sample1_3_2_outside,Class C,1.183076507269831
Sample1_3_3_outside,Class B,1.1654519815604354
Sample1_3_4_outside,Class A,1.3357440595252392
Sample1_3_4_outside,Class B,0.6664754536727237
Sample2_4_1_outside,Class B,0.9466382686514407
Sample2_4_1_outside,Class C,0.9034969519658629
Sample2_4_2_outside,Class A,0.455616026294012
Sample2_4_3_outside,Class A,0.7761421157807415
Sample2_4_3_outside,Class B,0.9652148440024629
Sample2_5_1_outside,Class A,2.3177246544510126
Sample2_5_1_outside,Class B,7.067411491999755
Sample2_5_2_outside,Class B,2.2357544928789137
Sample2_5_4_outside,Class A,0.4604559416572253
Sample2_5_4_outside,Class C,3.300503898411989
Sample2_5_5_outside,Class A,0.14850020792335272
sample_outside,Class A,3.364373767375946
sample_outside,Class B,0.5412940606474876
Sample3_3_1_outside,Class A,17.127381881078083
Sample3_3_1_outside,Class B,1.1926871853215353
Sample3_3_2_outside,Class A,0.20431781809777022
Sample3_3_2_outside,Class B,0.34413358842087266
Sample3_3_2_outside,Class C,0.24730091163467977
Sample3_3_2_outside,Class D,0.20469396198789278
Sample3_3_3_outside,Class A,0.5056189894676208
Sample3_3_3_outside,Class B,0.23855440052492277
Sample3_3_4_outside,Class A,1.3331846935624205
Sample3_3_4_outside,Class B,1.5815263895148581
Sample3_3_4_outside,Class C,0.4839049340649085
Sample3_4_1_outside,Class A,1.56559504610434
Sample3_4_2_outside,Class B,2.2673257839153793
Sample3_4_3_outside,Class A,0.8499759338223017
