Cell,Class,Average volume
Sample1_1_1_outside,Class A,0.6064042903110385
Sample1_1_2_outside,Class A,8.656867802888154
Sample1_2_1_outside,Class A,1.8783290197921765
Sample1_2_2_outside,Class A;Class B,0.219977006316185
Sample1_3_1_outside,Class A,0.519673656810213
Sample1_1_1_outside,Class A,1.6159697317114445
Sample1_1_2_outside,Class A,0.4561043282349904
Sample1_2_1_outside,Class A,0.9046813821869677
Sample1_2_1_outside,Class B,0.7849736684329913
Sample1_2_2_outside,Class A,1.158346609943188
Sample1_2_3_outside,Class A,0.6628937354400044
Sample1_2_4_outside,Class A,1.2260318687083303
Sample1_2_4_outside,Class B,0.4429823367856443
Sample1_2_5_outside,Class A,1.1525455734559469
Sample1_2_6_outside,Class A,0.5222649733242515
Sample1_3_1_outside,Class A,1.2324582926396812
Sample1_3_1_outside,Class B,0.8950703758626986
Sample1_3_3_outside,Class A,0.8538789676724753
Sample1_3_5_outside,Class A,0.43976348149133665
Sample1_3_6_outside,Class A,1.1604525221941562
Sample1_4_1_outside,Class A,0.9628583500782649
Sample1_4_2_outside,Class A,1.2798191110229062
Sample1_4_4_outside,Class A,0.859181972865866
Sample1_4_5_outside,Class A,0.6655434516391584
Sample1_4_6_outside,Class A,0.6379668852841517
Sample1_4_7_outside,Class A,1.7139440117669957
Sample1_4_8_outside,Class A,0.8023295309084157
Sample2_1_1_outside,Class B,0.8778537937573024
Sample2_1_2_outside,Class A,0.37859699541315583
Sample2_1_3_outside,Class A,0.7151807171016277
Sample2_2_1_outside,Class A,1.218923910783188
Sample2_2_2_outside,Class A,0.6521004482144208
Sample2_3_1_outside,Class A,1.0431300401687622
Sample2_3_2_outside,Class A,0.3686175165774742
Sample2_3_2_outside,Class B,1.9472635219451682
Sample2_3_3_outside,Class B,3.5249646646635875
Sample2_4_1_outside,Class A,8.436869621276855
Sample2_4_2_outside,Class A,0.21041199564933777
Sample3_1_1_outside,Class A,0.8494688821335633
Sample3_1_2_outside,Class A,0.7963038466017073
Sample3_1_3_outside,Class A,0.6819565218113559
Sample3_2_1_outside,Class A,1.0572056372960408
Sample3_2_1_outside,Class B,0.055472198873758316
Sample3_2_2_outside,Class A,1.0061981784248795
Sample3_3_1_outside,Class A,3.3248707205057144
Sample3_3_1_outside,Class B,0.7754733365448848
