Cell,Class,Average volume
sample_outside,Class A,12.418915225348124
sample_outside,Class B,6.822368311882019
sample_outside,Class A,0.1352909520676691
sample_outside,Class B,6.058420293789823
sample_outside,Class A,1.2175746433436871
sample_outside,Class A,0.28493759867090446
sample_outside,Class A,0.4107212614423285
sample_outside,Class B,0.5519558976849784
sample_outside,Class C,0.2575383053040829
sample_outside,Class A,0.5468425148111933
sample_outside,Class B,0.8478440783010461
sample_outside,Class A,0.026959700509905815
sample_outside,Class B,0.6761969923973083
sample_outside,Class A,0.15295567890544506
sample_outside,Class A,0.07136302748599004
sample_outside,Class B,0.7047371665636698
sample_outside,Class A,0.11815590038895607
sample_outside,Class B,0.16171017138948363
sample_outside,Class A,0.23411214003633513
sample_outside,Class B,0.20752051170378671
sample_outside,Class A,0.1478118849726221
sample_outside,Class A,0.10459319818764926
sample_outside,Class A,0.37994270210126135
sample_outside,Class B,0.09866273243512426
sample_outside,Class A,0.25909800299753744
sample_outside,Class A,0.1820855368161574
sample_outside,Class A,0.18890087400494074
sample_outside,Class B,0.332477831451053
sample_outside,Class A,0.3577680517420439
sample_outside,Class A,2.0420701577135456
sample_outside,Class A,0.11906336175277829
sample_outside,Class B,0.10068672307096022
sample_outside,Class C,29.325738743258018
sample_outside,Class D,0.35451261093840003
sample_outside,Class E,0.41324658660839003
sample_outside,Class A,0.09518102904487598
sample_outside,Class B,0.6986551366539465
sample_outside,Class A,2.5640899331774563
sample_outside,Class A,0.09221883614580813
sample_outside,Class A,0.0935161384632406
sample_outside,Class A,3.2388956436457543
sample_outside,Class B,0.36642548825372667
sample_outside,Class A,8.17077471296254
sample_outside,Class B,0.22394211604618108
sample_outside,Class A,0.045736148953437805
sample_outside,Class A,0.08449952049474967
sample_outside,Class B,0.10945564071679938
sample_outside,Class B,0.651988010853529
sample_outside,Class B,0.8406367488205433
