Cell,Class,Average volume
Sample1_1_1_inside,Class A,18.573237155164993
Sample1_1_1_inside,Class B,8.993577465415001
Sample1_1_2_inside,Class B,11.966751050949096
Sample1_1_3_inside,Class A,3.221510281165441
Sample1_1_4_inside,Class A,1.555045983195305
Sample1_1_4_inside,Class B,0.8107133731245995
Sample1_2_1_inside,Class A,137.11353492736816
Sample1_2_1_inside,Class B,34.635066986083984
Sample1_2_1_inside,Class C,34.3139374256134
Sample1_2_1_inside,Class D,17.842183139589096
Sample1_2_1_inside,Class E,44.884498596191406
Sample1_2_2_inside,Class A,4.968737453222275
Sample1_2_2_inside,Class B,9.922374963760376
Sample1_3_1_inside,Class A,0.40725400298833847
Sample1_3_1_inside,Class B,1.5713414058089257
Sample1_3_1_inside,Class C,9.480501155058542
Sample1_3_1_inside,Class D,2.1329202465713024
Sample1_3_1_inside,Class E,1.8327959166331724
Sample1_3_1_inside,Class F,2.0113744686047235
Sample1_4_1_inside,Class B,14.437771201133728
Sample1_4_2_inside,Class A,3.037709951400757
Sample1_4_2_inside,Class B,4.4346219301223755
Sample1_4_3_inside,Class A,11.731547474861145
Sample1_4_3_inside,Class B,17.710835933685303
Sample1_4_4_inside,Class A,11.595999717712402
Sample1_4_4_inside,Class B,5.6393386381013055
Sample2_1_1_inside,Class A,7.524381036559741
Sample2_2_1_inside,Class A,8.721485948562622
Sample2_2_2_inside,Class A,105.73606634140015
Sample2_3_1_inside,Class A,6.9845827276056465
Sample2_3_2_inside,Class A,25.465579986572266
Sample2_3_2_inside,Class B,86.11930084228516
Sample2_3_2_inside,Class C,60.142601013183594
Sample2_3_2_inside,Class D,21.794200897216797
Sample2_4_2_inside,Class A,79.19735050201416
Sample2_4_3_inside,Class B,2.195970058441162
Sample2_4_4_inside,Class A,40.460601806640625
Sample2_4_4_inside,Class B,11.978349685668945
Sample2_5_1_inside,Class B,15.026865303516388
Sample2_5_2_inside,Class A,17.576099395751953
Sample2_5_2_inside,Class B,12.98960018157959
Sample2_5_3_inside,Class A,4.091700077056885
Sample2_5_3_inside,Class B,20.783300399780273
Sample3_1_1_inside,Class A,3.654122701713017
Sample3_1_1_inside,Class B,7.658143440882365
Sample3_2_1_inside,Class A,4.479281655379704
Sample3_2_1_inside,Class B,5.162538134389454
Sample3_2_2_inside,Class A,3.8248353343456984
Sample3_3_1_inside,Class B,7.545627342029051
Sample3_3_2_inside,Class A,7.792861591492381
Sample3_3_5_inside,Class A,7.893629511197408
