Cell,Class,Average volume
Sample1_1_1_outside,Class A,0.9673190344201059
Sample1_1_1_outside,Class B,0.5610081106079398
Sample1_1_2_outside,Class A,0.010201638707747826
Sample1_1_2_outside,Class B,0.11417439405268394
Sample1_1_3_outside,Class A,1.077808627170389
Sample1_1_4_outside,Class A,0.4500653973470132
Sample1_1_4_outside,Class B,0.5979343184403011
Sample1_2_1_outside,Class A,0.49945174757158384
Sample1_2_1_outside,Class B,0.6333643766836479
Sample1_2_1_outside,Class C,0.7499704709386125
Sample1_2_1_outside,Class D,0.5318459371761401
Sample1_2_1_outside,Class E,0.8926597532828326
Sample1_2_2_outside,Class A,1.580992860862842
Sample1_2_2_outside,Class B,1.6044418003210532
Sample1_3_1_outside,Class A,2.0387007581690946
Sample1_3_1_outside,Class B,4.39626707136631
Sample1_3_1_outside,Class C,1.9088300135731697
Sample1_3_1_outside,Class D,6.144575119018555
Sample1_3_1_outside,Class E,1.721606302075088
Sample1_3_1_outside,Class F,1.6359691582620144
Sample1_4_1_outside,Class A,1.906458144184462
Sample1_4_2_outside,Class A,1.3252366291468634
Sample1_4_2_outside,Class B,1.1542629433690377
Sample1_4_3_outside,Class A,0.6446041207760572
Sample1_4_3_outside,Class B,1.2429705963621904
Sample1_4_4_outside,Class A,0.39336702808299484
Sample2_1_1_outside,Class A,0.6884971612857448
Sample2_2_1_outside,Class B,1.724238467003618
Sample2_2_2_outside,Class A,1.4123063403303209
Sample2_3_1_outside,Class B,0.19791183708154636
Sample2_3_2_outside,Class A,1.8180290686064644
Sample2_3_2_outside,Class B,1.506799728394701
Sample2_3_2_outside,Class C,1.7211793768737051
Sample2_3_2_outside,Class D,0.3936926480382681
Sample2_4_1_outside,Class B,0.67578455261313
Sample2_4_2_outside,Class A,1.496484372486819
Sample2_4_3_outside,Class A,0.372482245279984
Sample2_4_4_outside,Class A,1.6613874246055882
Sample2_4_4_outside,Class B,1.6235156625509262
Sample2_5_1_outside,Class A,0.2386135920236001
Sample2_5_2_outside,Class A,1.3254532895209092
Sample2_5_3_outside,Class A,10.07242725789547
Sample2_5_3_outside,Class B,4.702823597658425
Sample3_1_1_outside,Class A,1.50496002501159
Sample3_1_1_outside,Class B,1.0671760800398058
Sample3_2_1_outside,Class A,3.0265092827183637
Sample3_2_1_outside,Class B,1.832078173336002
Sample3_2_2_outside,Class A,0.4724677336658826
Sample3_3_1_outside,Class A,0.4847245380282402
Sample3_3_2_outside,Class A,1.2979688562984977
Sample3_3_5_outside,Class A,0.8768455290959941
