Cell,Class,Average volume
Sample1_1_1_inside,Class A,2.3619802330548945
Sample1_1_1_inside,Class C,6.5477155186235905
Sample1_2_1_inside,Class A,7.696742415428162
Sample1_2_1_inside,Class B,3.5864282846450806
Sample1_3_1_inside,Class A,1.2905512854456902
Sample1_3_1_inside,Class B,5.477225388089816
Sample1_3_1_inside,Class B;Class C,0.5014830231666565
Sample1_3_1_inside,Class C,0.6796957559417933
Sample1_4_1_inside,Class C,2.669829131414493
Sample1_4_2_inside,Class A,3.428093731403351
Sample1_4_2_inside,Class B,3.1194262355566025
Sample1_4_3_inside,Class A,0.1240235987518515
Sample1_4_3_inside,Class B,2.088601790029894
Sample2_1_1_inside,Class A,0.22754709565868744
Sample2_1_1_inside,Class B,2.5599879631056237
Sample2_1_1_inside,Class C,2.76539504279693
Sample2_1_2_inside,Class A,0.18284985547264418
Sample2_2_2_inside,Class A,4.695071220397949
Sample2_2_2_inside,Class B,6.235827445983887
Sample2_2_3_inside,Class A,0.37761731281438293
Sample2_2_3_inside,Class B,1.795271356900533
Sample2_2_3_inside,Class D,0.23087940229610962
Sample2_2_4_inside,Class C,1.7431915879249573
Sample3_1_1_inside,Class A,9.194545888900757
Sample3_1_1_inside,Class B,3.6660413435276817
Sample3_1_2_inside,Class A,0.8451516619750432
Sample3_1_3_inside,Class A,0.20986412126909604
Sample3_1_3_inside,Class B,0.23898476734757423
Sample3_1_4_inside,Class A,3.8996910214424134
Sample3_1_4_inside,Class B,3.2741600275039673
Sample3_2_1_inside,Class A,7.0801070758274625
Sample3_2_1_inside,Class B,0.27412422603982334
Sample3_2_1_inside,Class C,0.32666866279254525
Sample3_2_2_inside,Class A,5.824636077880859
Sample3_2_2_inside,Class B,3.847388482093811
Sample3_2_3_inside,Class A,2.0512221166147637
Sample3_2_3_inside,Class B,2.473221116445281
